ID	X	Y	landcover
311	66.5625	45.3125	19
312	64.0625	45.1875	9
313	64.1875	45.1875	9
314	64.3125	45.1875	9
315	64.4375	45.1875	18
316	64.5625	45.1875	18
317	64.6875	45.1875	18
318	64.8125	45.1875	18
319	64.9375	45.1875	18
320	65.0625	45.1875	18
321	65.1875	45.1875	19
322	65.3125	45.1875	18
323	65.4375	45.1875	19
324	65.5625	45.1875	19
325	65.6875	45.1875	21
326	65.8125	45.1875	21
327	65.9375	45.1875	21
328	66.0625	45.1875	20
329	66.1875	45.1875	21
330	66.3125	45.1875	20
331	66.4375	45.1875	21
332	66.5625	45.1875	21
333	64.3125	45.0625	18
334	64.4375	45.0625	18
335	64.5625	45.0625	9
336	64.6875	45.0625	18
337	64.8125	45.0625	9
338	64.9375	45.0625	9
339	65.0625	45.0625	9
340	65.1875	45.0625	9
341	65.3125	45.0625	19
342	65.4375	45.0625	19
343	65.5625	45.0625	19
344	65.6875	45.0625	19
345	65.8125	45.0625	21
346	65.9375	45.0625	21
347	66.0625	45.0625	21
348	66.1875	45.0625	21
349	66.3125	45.0625	21
350	66.4375	45.0625	21
351	66.5625	45.0625	21
352	66.6875	45.0625	21
353	64.5625	44.9375	18
354	64.6875	44.9375	9
355	64.8125	44.9375	18
356	64.9375	44.9375	18
357	65.0625	44.9375	18
358	65.1875	44.9375	9
359	65.3125	44.9375	18
360	65.4375	44.9375	18
361	65.5625	44.9375	18
362	65.6875	44.9375	19
363	65.8125	44.9375	19
364	65.9375	44.9375	19
365	66.0625	44.9375	21
366	66.1875	44.9375	21
367	66.3125	44.9375	21
368	66.4375	44.9375	21
369	66.5625	44.9375	21
370	66.6875	44.9375	21
371	66.8125	44.9375	21
372	64.8125	44.8125	18
373	65.3125	44.8125	18
374	65.4375	44.8125	18
375	65.5625	44.8125	19
376	65.6875	44.8125	19
377	65.8125	44.8125	19
378	65.9375	44.8125	19
379	66.0625	44.8125	19
380	66.1875	44.8125	21
381	66.3125	44.8125	21
382	66.4375	44.8125	21
383	66.5625	44.8125	21
384	66.6875	44.8125	21
385	66.8125	44.8125	16
386	66.9375	44.8125	16
387	67.0625	44.8125	16
388	65.4375	44.6875	9
389	65.5625	44.6875	18
390	65.6875	44.6875	19
391	65.8125	44.6875	18
392	65.9375	44.6875	19
393	66.0625	44.6875	16
394	66.1875	44.6875	19
395	66.3125	44.6875	19
396	66.4375	44.6875	21
397	66.5625	44.6875	21
398	66.6875	44.6875	21
399	66.8125	44.6875	19
400	66.9375	44.6875	16
401	67.0625	44.6875	16
402	67.1875	44.6875	16
403	65.6875	44.5625	18
404	65.8125	44.5625	19
405	65.9375	44.5625	18
406	66.0625	44.5625	18
407	66.1875	44.5625	9
408	66.3125	44.5625	19
409	66.4375	44.5625	19
410	66.5625	44.5625	19
411	66.6875	44.5625	19
412	66.8125	44.5625	9
413	66.9375	44.5625	16
414	67.0625	44.5625	16
415	67.1875	44.5625	16
416	67.3125	44.5625	16
417	65.8125	44.4375	18
418	65.9375	44.4375	18
419	66.0625	44.4375	18
420	66.1875	44.4375	18
421	66.3125	44.4375	18
422	66.4375	44.4375	9
423	66.5625	44.4375	16
424	66.6875	44.4375	16
425	66.8125	44.4375	9
426	66.9375	44.4375	16
427	67.0625	44.4375	16
428	67.1875	44.4375	16
429	67.3125	44.4375	16
430	67.4375	44.4375	16
431	66.0625	44.3125	16
432	66.1875	44.3125	16
433	66.3125	44.3125	18
434	66.4375	44.3125	9
435	66.5625	44.3125	9
436	66.6875	44.3125	9
437	66.8125	44.3125	9
438	66.9375	44.3125	16
439	67.0625	44.3125	16
440	67.1875	44.3125	16
441	67.3125	44.3125	16
442	67.4375	44.3125	16
443	67.5625	44.3125	16
444	67.6875	44.3125	16
445	67.8125	44.3125	16
446	66.1875	44.1875	19
447	66.3125	44.1875	16
448	66.4375	44.1875	18
449	66.5625	44.1875	9
450	66.6875	44.1875	9
451	66.8125	44.1875	9
452	66.9375	44.1875	9
453	67.0625	44.1875	9
454	67.1875	44.1875	16
455	67.3125	44.1875	16
456	67.4375	44.1875	16
457	67.5625	44.1875	16
458	67.6875	44.1875	16
459	67.8125	44.1875	16
460	67.9375	44.1875	16
461	66.3125	44.0625	16
462	66.4375	44.0625	16
463	66.5625	44.0625	17
464	66.6875	44.0625	16
465	66.8125	44.0625	9
466	66.9375	44.0625	9
467	67.0625	44.0625	9
468	67.1875	44.0625	16
469	67.3125	44.0625	16
470	67.4375	44.0625	16
471	67.5625	44.0625	16
472	67.6875	44.0625	16
473	67.8125	44.0625	16
474	67.9375	44.0625	16
475	68.0625	44.0625	17
476	66.4375	43.9375	16
477	66.5625	43.9375	16
478	66.6875	43.9375	16
479	66.8125	43.9375	18
480	66.9375	43.9375	17
481	67.0625	43.9375	17
482	67.1875	43.9375	16
483	67.3125	43.9375	16
484	67.4375	43.9375	16
485	67.5625	43.9375	16
486	67.6875	43.9375	16
487	67.8125	43.9375	16
488	67.9375	43.9375	16
489	68.0625	43.9375	19
490	68.1875	43.9375	16
491	68.3125	43.9375	17
492	66.5625	43.8125	16
493	66.6875	43.8125	16
494	66.8125	43.8125	16
495	66.9375	43.8125	16
496	67.0625	43.8125	9
497	67.1875	43.8125	9
498	67.3125	43.8125	16
499	67.4375	43.8125	16
500	67.5625	43.8125	17
501	67.6875	43.8125	17
502	67.8125	43.8125	16
503	67.9375	43.8125	16
504	68.0625	43.8125	16
505	68.1875	43.8125	16
506	68.3125	43.8125	16
507	68.4375	43.8125	17
508	68.5625	43.8125	17
509	68.6875	43.8125	17
510	66.5625	43.6875	19
511	66.6875	43.6875	19
512	66.8125	43.6875	16
513	66.9375	43.6875	16
514	67.0625	43.6875	20
515	67.1875	43.6875	17
516	67.3125	43.6875	17
517	67.4375	43.6875	20
518	67.5625	43.6875	17
519	67.6875	43.6875	17
520	67.8125	43.6875	17
521	67.9375	43.6875	17
522	68.0625	43.6875	16
523	68.1875	43.6875	16
524	68.3125	43.6875	16
525	68.4375	43.6875	16
526	68.5625	43.6875	16
527	68.6875	43.6875	17
528	68.8125	43.6875	17
529	68.9375	43.6875	17
530	66.8125	43.5625	16
531	66.9375	43.5625	16
532	67.0625	43.5625	16
533	67.1875	43.5625	20
534	67.3125	43.5625	9
535	67.4375	43.5625	17
536	67.5625	43.5625	16
537	67.6875	43.5625	17
538	67.8125	43.5625	17
539	67.9375	43.5625	17
540	68.0625	43.5625	17
541	68.1875	43.5625	17
542	68.3125	43.5625	16
543	68.4375	43.5625	16
544	68.5625	43.5625	16
545	68.6875	43.5625	16
546	68.8125	43.5625	16
547	68.9375	43.5625	16
548	69.0625	43.5625	16
549	66.9375	43.4375	16
550	67.0625	43.4375	16
551	67.1875	43.4375	19
552	67.3125	43.4375	9
553	67.4375	43.4375	9
554	67.5625	43.4375	17
555	67.6875	43.4375	17
556	67.8125	43.4375	17
557	67.9375	43.4375	17
558	68.0625	43.4375	17
559	68.1875	43.4375	17
560	68.3125	43.4375	9
561	68.4375	43.4375	16
562	68.5625	43.4375	16
563	68.6875	43.4375	16
564	68.8125	43.4375	16
565	68.9375	43.4375	16
566	69.0625	43.4375	16
567	69.1875	43.4375	16
568	69.3125	43.4375	9
569	69.4375	43.4375	9
570	69.5625	43.4375	9
571	69.6875	43.4375	17
572	67.0625	43.3125	16
573	67.1875	43.3125	16
574	67.3125	43.3125	19
575	67.4375	43.3125	9
576	67.5625	43.3125	9
577	67.6875	43.3125	17
578	67.8125	43.3125	16
579	67.9375	43.3125	16
580	68.0625	43.3125	17
581	68.1875	43.3125	17
582	68.3125	43.3125	16
583	68.4375	43.3125	16
584	68.5625	43.3125	16
585	68.6875	43.3125	16
586	68.8125	43.3125	16
587	68.9375	43.3125	16
588	69.0625	43.3125	17
589	69.1875	43.3125	17
590	69.3125	43.3125	17
591	69.4375	43.3125	17
592	69.5625	43.3125	17
593	69.6875	43.3125	17
594	69.8125	43.3125	17
595	69.9375	43.3125	17
596	67.0625	43.1875	16
597	67.1875	43.1875	16
598	67.3125	43.1875	19
599	67.4375	43.1875	19
600	67.5625	43.1875	16
601	67.6875	43.1875	16
602	67.8125	43.1875	15
603	67.9375	43.1875	18
604	68.0625	43.1875	16
605	68.1875	43.1875	16
606	68.3125	43.1875	16
607	68.4375	43.1875	9
608	68.5625	43.1875	9
609	68.6875	43.1875	16
610	68.8125	43.1875	16
611	68.9375	43.1875	16
612	69.0625	43.1875	16
613	69.1875	43.1875	17
614	69.3125	43.1875	17
615	69.4375	43.1875	17
616	69.5625	43.1875	17
617	69.6875	43.1875	17
