ID	X	Y	dem
165	61.8125	45.8125	57
166	61.9375	45.8125	60
167	62.0625	45.8125	62
168	62.1875	45.8125	61
169	62.3125	45.8125	64
170	62.4375	45.8125	68
171	62.5625	45.8125	68
172	62.6875	45.8125	80
173	62.8125	45.8125	86
174	62.9375	45.8125	92
175	63.0625	45.8125	96
176	63.1875	45.8125	97
177	63.3125	45.8125	97
178	63.4375	45.8125	102
179	63.5625	45.8125	105
180	63.6875	45.8125	99
181	63.8125	45.8125	98
182	63.9375	45.8125	93
183	64.0625	45.8125	96
184	64.1875	45.8125	99
185	64.3125	45.8125	103
186	64.4375	45.8125	101
187	64.5625	45.8125	100
188	64.6875	45.8125	111
189	64.8125	45.8125	130
190	64.9375	45.8125	140
191	65.0625	45.8125	158
192	65.1875	45.8125	160
193	61.6875	45.6875	60
194	61.8125	45.6875	56
195	61.9375	45.6875	56
196	62.0625	45.6875	59
197	62.1875	45.6875	64
198	62.3125	45.6875	66
199	62.4375	45.6875	70
200	62.5625	45.6875	75
201	62.6875	45.6875	73
202	62.8125	45.6875	76
203	62.9375	45.6875	81
204	63.0625	45.6875	84
205	63.1875	45.6875	94
206	63.3125	45.6875	94
207	63.4375	45.6875	85
208	63.5625	45.6875	96
209	63.6875	45.6875	95
210	63.8125	45.6875	86
211	63.9375	45.6875	91
212	64.0625	45.6875	96
213	64.1875	45.6875	105
214	64.3125	45.6875	101
215	64.4375	45.6875	99
216	64.5625	45.6875	99
217	64.6875	45.6875	101
218	64.8125	45.6875	104
219	64.9375	45.6875	113
220	65.0625	45.6875	113
221	65.1875	45.6875	115
222	65.3125	45.6875	111
223	65.5625	45.6875	127
224	65.6875	45.6875	136
225	66.3125	45.6875	114
226	66.4375	45.6875	124
227	66.5625	45.6875	167
228	61.6875	45.5625	57
229	61.8125	45.5625	57
230	61.9375	45.5625	56
231	62.5625	45.5625	77
232	62.6875	45.5625	82
233	62.8125	45.5625	82
234	62.9375	45.5625	85
235	63.0625	45.5625	88
236	63.1875	45.5625	85
237	63.3125	45.5625	88
238	63.4375	45.5625	89
239	63.5625	45.5625	92
240	63.6875	45.5625	100
241	63.8125	45.5625	95
242	63.9375	45.5625	93
243	64.0625	45.5625	115
244	64.1875	45.5625	113
245	64.3125	45.5625	95
246	64.4375	45.5625	100
247	64.5625	45.5625	101
248	64.6875	45.5625	104
249	64.8125	45.5625	102
250	64.9375	45.5625	104
251	65.0625	45.5625	107
252	65.1875	45.5625	108
253	65.3125	45.5625	108
254	65.4375	45.5625	113
255	65.5625	45.5625	134
256	65.6875	45.5625	138
257	65.8125	45.5625	134
258	66.0625	45.5625	150
259	66.1875	45.5625	156
260	66.3125	45.5625	159
261	66.4375	45.5625	160
262	66.5625	45.5625	160
263	62.9375	45.4375	82
264	63.0625	45.4375	82
265	63.8125	45.4375	94
266	63.9375	45.4375	92
267	64.0625	45.4375	93
268	64.1875	45.4375	92
269	64.3125	45.4375	98
270	64.4375	45.4375	98
271	64.5625	45.4375	99
272	64.6875	45.4375	105
273	64.8125	45.4375	106
274	64.9375	45.4375	107
275	65.0625	45.4375	109
276	65.1875	45.4375	111
277	65.3125	45.4375	112
278	65.4375	45.4375	113
279	65.5625	45.4375	113
280	65.6875	45.4375	119
281	65.8125	45.4375	129
282	65.9375	45.4375	118
283	66.0625	45.4375	132
284	66.1875	45.4375	141
285	66.3125	45.4375	146
286	66.4375	45.4375	147
287	66.5625	45.4375	144
288	66.6875	45.4375	141
289	63.8125	45.3125	95
290	63.9375	45.3125	97
291	64.0625	45.3125	100
292	64.1875	45.3125	97
293	64.3125	45.3125	99
294	64.4375	45.3125	98
295	64.5625	45.3125	103
296	64.6875	45.3125	106
297	64.8125	45.3125	106
298	64.9375	45.3125	108
299	65.0625	45.3125	107
300	65.1875	45.3125	108
301	65.3125	45.3125	112
302	65.4375	45.3125	113
303	65.5625	45.3125	115
304	65.6875	45.3125	115
305	65.8125	45.3125	114
306	65.9375	45.3125	118
307	66.0625	45.3125	118
308	66.1875	45.3125	120
309	66.3125	45.3125	124
310	66.4375	45.3125	127
311	66.5625	45.3125	131
312	64.0625	45.1875	98
313	64.1875	45.1875	100
